"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-427H3.3",1.93452214896585e-09,0.374972478805416,0.216,0.107,5.09959383688886e-05
"KIAA1551",2.09974940496109e-09,0.412462889638973,0.595,0.435,5.53514940641792e-05
"APMAP",2.15423316193443e-09,0.288895947084653,0.293,0.162,5.67877403817535e-05
"SNTB2",2.27913822031137e-09,0.342648383285436,0.122,0.046,6.0080362625628e-05
"TMEM63A",2.37122092753461e-09,0.282474566767151,0.14,0.056,6.25077548707398e-05
"CPVL",2.69734410326257e-09,-0.465889241312824,0.604,0.675,7.11046879061047e-05
"ANXA2",2.99470103037281e-09,-0.447302149049025,0.655,0.73,7.89433138616578e-05
"RPS14",3.06830117146451e-09,0.280383588549375,0.959,0.938,8.0883487180976e-05
"IFFO2",3.34760301986904e-09,0.290119479672558,0.131,0.051,8.82461632067678e-05
"ZNF101",3.569869838284e-09,0.253049345834416,0.119,0.045,9.41053388070045e-05
"IL17RA",3.64190875223391e-09,-0.484791727317187,0.577,0.662,9.60043566176382e-05
"CFP",3.91591576040468e-09,-0.442490790231079,0.635,0.71,0.000103227455360028
"MRFAP1L1",4.03670135406244e-09,0.302155197533264,0.191,0.092,0.00010641148439444
"PDE3B",4.20518999583485e-09,0.353631215690782,0.171,0.078,0.000110853013480202
"PAG1",4.74643772516147e-09,0.411727971793902,0.311,0.179,0.000125120844872982
"PGD",5.01860723004733e-09,-0.55446416978821,0.439,0.532,0.000132295505191278
"OGFRL1",5.32041001867546e-09,-0.486642351152077,0.572,0.647,0.000140251328502304
"ANXA6",5.42137406518155e-09,0.37568069659273,0.462,0.305,0.000142912841732251
"FAM107B",5.75837375008841e-09,0.448825897191027,0.365,0.232,0.000151796490426081
"CCDC88A",5.80549771794746e-09,-0.537120076110532,0.468,0.571,0.000153038725342813
"G3BP1",6.07652580602233e-09,0.364215966994042,0.32,0.19,0.000160183296772555
"KCTD12",6.26040221386119e-09,-0.419878546424977,0.619,0.694,0.000165030462759595
"CLSTN1",6.33863326251506e-09,0.344008169556464,0.288,0.165,0.00016709271143316
"ZBTB4",6.56533587313972e-09,0.251791506975157,0.191,0.092,0.000173068818951836
"ANKRD36C",7.11803517888856e-09,0.340108227181565,0.131,0.053,0.000187638525350681
"GIMAP7",7.18700166289721e-09,0.342836107384684,0.423,0.269,0.000189456550835633
"TALDO1",8.04931507731208e-09,-0.446550041934631,0.568,0.657,0.000212187994753024
"ANKZF1",8.69863265185763e-09,0.29717354372959,0.18,0.086,0.000229304655335619
"SAT1",8.72874845285261e-09,-0.386051273319328,0.786,0.85,0.000230098537965648
"CEBPD",8.76683116501328e-09,-0.485782254937857,0.588,0.663,0.000231102436340915
