"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.757","SeuratProject",1352,817,"H1","CD14 Monocyte","2","6",0.0825280381880598,-0.0735077467356249,"S","2",1549,817,"6"
"HIP002.758","SeuratProject",1496,809,"H1","CD14 Monocyte","3","14",0.0302929480030504,-0.024510053981112,"S","3",1625,809,"14"
"HIP002.759","SeuratProject",1505,786,"H1","CD14 Monocyte","2","5",0.0566116779120523,-0.08478412763617,"S","2",1633,782,"5"
"HIP002.762","SeuratProject",1842,818,"H1","CD14 Monocyte","7","5",-0.00945966115540046,-0.028419850205777,"G1","7",1846,818,"5"
"HIP002.765","SeuratProject",1395,819,"H1","CD14 Monocyte","3","11",-0.0546227078439271,-0.0712182741891855,"G1","3",1569,819,"11"
"HIP002.767","SeuratProject",1749,829,"H1","CD14 Monocyte","7","15",-0.0628488928858936,-0.0980461636191217,"G1","7",1780,829,"15"
"HIP002.769","SeuratProject",1357,838,"H1","CD14 Monocyte","3","12",-0.0102065946257314,-0.0922566064836739,"G1","3",1535,836,"12"
"HIP002.770","SeuratProject",1436,824,"H1","CD14 Monocyte","3","7",-0.0632549378596987,-0.0290924688479903,"G1","3",1600,823,"7"
"HIP002.777","SeuratProject",1466,805,"H1","CD14 Monocyte","6","15",-0.00701026220532135,-0.0525230451644499,"G1","6",1612,802,"15"
"HIP002.779","SeuratProject",1841,817,"H1","CD14 Monocyte","3","5",0.0364521733523021,0.00762415230612698,"S","3",1846,817,"5"
"HIP002.786","SeuratProject",1119,746,"H1","CD14 Monocyte","3","6",-0.0857341309523257,-0.0256718102601007,"G1","3",1424,745,"6"
"HIP002.787","SeuratProject",1525,824,"H1","CD16 Monocyte","5","20",-0.0644843669020278,-0.0565528558760467,"G1","5",1629,823,"20"
"HIP002.791","SeuratProject",1487,840,"H1","CD14 Monocyte","3","10",-0.0180610665803461,-0.110167594300206,"G1","3",1613,839,"10"
"HIP002.793","SeuratProject",1276,799,"H1","CD16 Monocyte","10","6",-0.00746675470057231,-0.0525270271918723,"G1","10",1509,793,"6"
"HIP002.796","SeuratProject",1479,848,"H1","CD14 Monocyte","3","13",-0.00420401439925894,-0.101850638115772,"G1","3",1618,848,"13"
"HIP002.800","SeuratProject",1545,834,"H1","CD14 Monocyte","7","14",-0.0199512515517592,0.0418948126375785,"G2M","7",1641,833,"14"
"HIP002.801","SeuratProject",1383,836,"H1","CD16 Monocyte","10","6",0.049143572986787,-0.057058614070014,"S","10",1547,834,"6"
"HIP002.807","SeuratProject",1483,852,"H1","CD16 Monocyte","5","0",-0.00684174248158052,-0.0712621330626223,"G1","5",1619,852,"0"
"HIP002.809","SeuratProject",1659,841,"H1","CD14 Monocyte","0","6",-0.0512046740157803,-0.104655606992081,"G1","0",1718,841,"6"
"HIP002.810","SeuratProject",1436,851,"H1","CD16 Monocyte","5","0",-0.0642841724964002,-0.0171045142356773,"G1","5",1570,851,"0"
"HIP002.812","SeuratProject",1818,848,"H1","CD14 Monocyte","3","2",0.00115625869989186,-0.0590280995663107,"S","3",1829,848,"2"
"HIP002.813","SeuratProject",1426,838,"H1","CD14 Monocyte","7","14",-0.0773436099941454,-0.00357558412680219,"G1","7",1580,838,"14"
"HIP002.814","SeuratProject",1741,850,"H1","CD14 Monocyte","3","12",-0.0442788075013369,-0.0257806668756321,"G1","3",1773,848,"12"
"HIP002.816","SeuratProject",1683,852,"H1","CD14 Monocyte","7","0",-0.0120686665517084,0.0135361724159974,"G2M","7",1734,852,"0"
"HIP002.817","SeuratProject",2129,831,"H1","CD14 Monocyte","3","14",-0.00814093212766506,-0.026631003259141,"G1","3",2008,830,"14"
"HIP002.819","SeuratProject",1486,856,"H1","CD16 Monocyte","5","12",-0.0141746537836663,0.00937603551949757,"G2M","5",1610,856,"12"
"HIP002.821","SeuratProject",1675,850,"H1","CD14 Monocyte","3","0",-0.0147970719051645,-0.0473264727098568,"G1","3",1730,848,"0"
"HIP002.824","SeuratProject",1444,786,"H1","CD14 Monocyte","0","15",-0.0139707934221201,-0.0575717686290489,"G1","0",1602,785,"15"
"HIP002.828","SeuratProject",1733,853,"H1","CD14 Monocyte","3","5",-0.056016442612541,-0.0930193945125486,"G1","3",1768,853,"5"
"HIP002.844","SeuratProject",1386,857,"H1","CD14 Monocyte","3","13",-0.0271353944552083,-0.0245359585265259,"G1","3",1555,857,"13"
"HIP002.855","SeuratProject",1546,846,"H1","CD14 Monocyte","3","14",0.0401830044440384,-0.0321647741448914,"S","3",1652,845,"14"
"HIP002.857","SeuratProject",1477,869,"H1","CD16 Monocyte","5","7",-0.051938226402801,-0.10287227093982,"G1","5",1600,868,"7"
"HIP002.864","SeuratProject",1397,871,"H1","CD14 Monocyte","7","11",-0.0276695605836601,0.0334596730521554,"G2M","7",1557,870,"11"
"HIP002.867","SeuratProject",1280,887,"H1","CD16 Monocyte","5","6",-0.0573063442909569,-0.0236536582191262,"G1","5",1501,887,"6"
"HIP002.873","SeuratProject",1447,879,"H1","CD14 Monocyte","3","5",-0.0480749771449016,-0.0373469054281792,"G1","3",1587,879,"5"
"HIP002.880","SeuratProject",1606,882,"H1","CD14 Monocyte","3","5",-0.0645422456115269,-0.0843255784756745,"G1","3",1689,882,"5"
"HIP002.882","SeuratProject",2074,881,"H1","CD14 Monocyte","7","15",-0.0204495598185709,-0.0659987368357431,"G1","7",1986,880,"15"
"HIP002.883","SeuratProject",1474,888,"H1","CD14 Monocyte","5","7",-0.0144883645288491,-0.110032579636609,"G1","5",1600,888,"7"
"HIP002.885","SeuratProject",1780,880,"H1","CD14 Monocyte","7","5",-0.0650008112982502,-0.0801813710602257,"G1","7",1802,880,"5"
"HIP002.886","SeuratProject",2111,870,"H1","CD14 Monocyte","3","15",-0.0116486381599205,-0.07297789798472,"G1","3",2001,869,"15"
"HIP002.896","SeuratProject",1387,842,"H1","CD14 Monocyte","7","10",-0.00661037087216906,-0.0277163362546008,"G1","7",1561,841,"10"
"HIP002.897","SeuratProject",1531,878,"H1","CD14 Monocyte","7","14",0.0366734627029341,-0.0287565422401806,"S","7",1636,875,"14"
"HIP002.901","SeuratProject",1473,891,"H1","CD16 Monocyte","5","7",-0.0219023118456599,-0.11418032837745,"G1","5",1588,891,"7"
"HIP002.902","SeuratProject",1571,901,"H1","CD14 Monocyte","3","11",-0.0619933659896838,-0.10439873784399,"G1","3",1658,901,"11"
"HIP002.904","SeuratProject",1566,894,"H1","CD16 Monocyte","5","0",-0.0582424323884675,-0.0644569303028546,"G1","5",1647,894,"0"
"HIP002.906","SeuratProject",1757,890,"H1","CD14 Monocyte","3","15",-0.0251884368734195,-0.0513757003790131,"G1","3",1785,890,"15"
"HIP002.908","SeuratProject",1724,890,"H1","CD14 Monocyte","7","5",-0.0566931530295783,-0.00242559363684054,"G1","7",1758,890,"5"
"HIP002.910","SeuratProject",2048,897,"H1","DC","2","6",-0.0666459675008485,-0.0539272495870907,"G1","2",1985,897,"6"
"HIP002.912","SeuratProject",1683,898,"H1","CD14 Monocyte","3","11",-0.0569167850345428,-0.0477125668680061,"G1","3",1733,898,"11"
"HIP002.915","SeuratProject",1403,900,"H1","CD16 Monocyte","5","0",-0.0809705890653271,-0.0343672967689524,"G1","5",1551,900,"0"
"HIP002.917","SeuratProject",2041,894,"H1","CD16 Monocyte","10","6",-0.0194542559064861,-0.0708551330647903,"G1","10",1976,894,"6"
"HIP002.919","SeuratProject",1290,897,"H1","CD14 Monocyte","7","15",-0.0800965782350105,-0.0730745317492101,"G1","7",1502,897,"15"
"HIP002.921","SeuratProject",1766,897,"H1","CD16 Monocyte","3","5",-0.0113148366510458,-0.0947411412707407,"G1","3",1784,897,"5"
"HIP002.922","SeuratProject",1682,889,"H1","CD14 Monocyte","3","13",-0.0706033064920175,-0.0680036054311059,"G1","3",1731,887,"13"
"HIP002.926","SeuratProject",1393,892,"H1","CD16 Monocyte","10","7",-0.0748848403617985,-0.0776632164494752,"G1","10",1539,892,"7"
"HIP002.928","SeuratProject",2512,906,"H1","CD14 Monocyte","7","6",-0.017142523901164,-0.0614623315232164,"G1","7",2124,904,"6"
"HIP002.930","SeuratProject",1652,906,"H1","CD14 Monocyte","3","14",-0.0562194030477433,-0.00650431318114669,"G1","3",1713,906,"14"
"HIP002.931","SeuratProject",1548,893,"H1","CD16 Monocyte","5","20",-0.0686002004186207,-0.0768117866003437,"G1","5",1642,893,"20"
"HIP002.936","SeuratProject",1905,895,"H1","DC","3","6",-0.0707081048265506,-0.122523725412513,"G1","3",1892,894,"6"
"HIP002.937","SeuratProject",1461,911,"H1","CD14 Monocyte","3","10",0.0431362801732683,-0.0679564362136839,"S","3",1584,911,"10"
"HIP002.938","SeuratProject",1804,910,"H1","CD14 Monocyte","3","17",-0.0687487871945113,-0.0604022495264578,"G1","3",1817,910,"17"
"HIP002.940","SeuratProject",1957,895,"H1","CD14 Monocyte","0","15",-0.0466479202408624,0.00539519366838588,"G2M","0",1929,895,"15"
"HIP002.950","SeuratProject",1780,912,"H1","CD14 Monocyte","3","11",-0.0244111922853927,0.0461606660985777,"G2M","3",1799,912,"11"
"HIP002.951","SeuratProject",1812,918,"H1","CD14 Monocyte","3","14",0.00963890111486519,-0.0381648796990763,"S","3",1820,918,"14"
"HIP002.952","SeuratProject",2167,911,"H1","CD14 Monocyte","3","14",-0.0209634265052002,-0.00363851526122554,"G1","3",2024,911,"14"
"HIP002.955","SeuratProject",1536,909,"H1","CD14 Monocyte","3","10",-0.0235622006606751,-0.0752650282246684,"G1","3",1629,908,"10"
"HIP002.956","SeuratProject",1902,873,"H1","CD14 Monocyte","7","6",-0.0097030024925067,-0.0432338262217637,"G1","7",1887,872,"6"
"HIP002.957","SeuratProject",2008,914,"H1","CD14 Monocyte","3","10",-0.0192520633429146,-0.0279454682648878,"G1","3",1958,914,"10"
"HIP002.966","SeuratProject",1485,925,"H1","CD16 Monocyte","5","7",-0.0686926578884342,-0.0363981434923662,"G1","5",1598,925,"7"
"HIP002.967","SeuratProject",2311,918,"H1","CD14 Monocyte","5","0",-0.0136205646029324,-0.0621183137531962,"G1","5",2086,918,"0"
"HIP002.968","SeuratProject",1502,909,"H1","CD14 Monocyte","3","10",0.0308265448594206,-0.0646039390485029,"S","3",1617,909,"10"
"HIP002.972","SeuratProject",1979,911,"H1","CD14 Monocyte","3","15",-0.0559261017546719,-0.0558418263791748,"G1","3",1943,911,"15"
"HIP002.974","SeuratProject",1645,933,"H1","CD14 Monocyte","3","14",0.0351042197471298,-0.0362900671788949,"S","3",1701,933,"14"
"HIP002.980","SeuratProject",1691,924,"H1","CD16 Monocyte","5","7",0.0200766681815985,-0.00311223966493117,"S","5",1733,923,"7"
"HIP002.983","SeuratProject",1641,927,"H1","CD16 Monocyte","5","7",-0.0752017212379093,-0.0739031955862029,"G1","5",1694,927,"7"
"HIP002.986","SeuratProject",1545,927,"H1","CD16 Monocyte","10","6",0.0277925363087933,-0.0316136249359312,"S","10",1623,924,"6"
"HIP002.987","SeuratProject",1624,935,"H1","CD14 Monocyte","7","5",-0.057058957535402,-0.0797881100901442,"G1","7",1691,933,"5"
"HIP002.989","SeuratProject",1901,941,"H1","CD14 Monocyte","3","14",0.0263873703927415,-0.0704392909325513,"S","3",1890,941,"14"
"HIP002.995","SeuratProject",1736,945,"H1","CD14 Monocyte","3","5",-0.0700170084626473,-0.0165540591110446,"G1","3",1766,945,"5"
"HIP002.1004","SeuratProject",1948,939,"H1","CD14 Monocyte","3","13",-0.0642163970683194,-0.0124720166706832,"G1","3",1923,939,"13"
"HIP002.1006","SeuratProject",1623,946,"H1","CD14 Monocyte","3","11",-0.0672403350461426,-0.0542958825170092,"G1","3",1687,946,"11"
"HIP002.1008","SeuratProject",1657,955,"H1","CD16 Monocyte","5","12",-0.0746492508776223,-0.0657049813682803,"G1","5",1706,954,"12"
"HIP002.1016","SeuratProject",2004,948,"H1","CD16 Monocyte","5","14",-0.0581185412480543,-0.090809806418141,"G1","5",1962,947,"14"
"HIP002.1020","SeuratProject",1658,962,"H1","CD14 Monocyte","3","15",-0.068369902676709,-0.0301583291010158,"G1","3",1703,962,"15"
"HIP002.1036","SeuratProject",1656,967,"H1","CD14 Monocyte","7","13",-0.0836505446343581,-0.0955645249031842,"G1","7",1709,966,"13"
"HIP002.1037","SeuratProject",1678,955,"H1","CD14 Monocyte","3","17",-0.0288864664023793,-0.0765428220996472,"G1","3",1718,954,"17"
"HIP002.1039","SeuratProject",2215,951,"H1","CD14 Monocyte","3","5",-0.0272933561324403,-0.105127091921958,"G1","3",2050,951,"5"
"HIP002.1045","SeuratProject",1633,968,"H1","CD14 Monocyte","3","10",-0.0725122150766479,0.00238399078586736,"G2M","3",1683,968,"10"
"HIP002.1047","SeuratProject",1893,971,"H1","CD14 Monocyte","3","15",-0.0681564498196257,-0.0229348930712419,"G1","3",1885,971,"15"
"HIP002.1055","SeuratProject",1930,965,"H1","CD14 Monocyte","7","10",-0.0213366312359761,-0.0308601135168305,"G1","7",1914,965,"10"
"HIP002.1056","SeuratProject",1983,965,"H1","CD14 Monocyte","3","10",0.0265488960751473,-0.0754376171365742,"S","3",1943,964,"10"
"HIP002.1058","SeuratProject",1602,979,"H1","CD16 Monocyte","5","0",-0.0694410016151088,0.00177718346293346,"G2M","5",1661,979,"0"
"HIP002.1064","SeuratProject",2058,976,"H1","CD14 Monocyte","3","5",-0.0497883732637315,-0.120966539723092,"G1","3",1992,976,"5"
"HIP002.1067","SeuratProject",1697,985,"H1","CD14 Monocyte","3","5",-0.0249686084695674,-0.117736948944377,"G1","3",1733,985,"5"
"HIP002.1069","SeuratProject",1711,981,"H1","CD14 Monocyte","7","6",-0.0394510382294133,-0.108534315759475,"G1","7",1748,980,"6"
"HIP002.1075","SeuratProject",1812,967,"H1","DC","6","6",-0.0281606825542157,-0.052587812405586,"G1","6",1821,967,"6"
"HIP002.1076","SeuratProject",2066,973,"H1","CD14 Monocyte","7","13",0.0517433584294083,-0.0788575334926868,"S","7",1995,972,"13"
"HIP002.1078","SeuratProject",2098,975,"H1","DC","3","6",-0.0702516217424474,-0.0388672336194744,"G1","3",2013,974,"6"
"HIP002.1082","SeuratProject",1888,967,"H1","DC","11","6",-0.0351509973482722,-0.0752681762474388,"G1","11",1881,966,"6"
"HIP002.1091","SeuratProject",1836,961,"H1","CD14 Monocyte","3","15",-0.065781161622087,-0.078271697015643,"G1","3",1838,959,"15"
"HIP002.1092","SeuratProject",1885,979,"H1","CD14 Monocyte","3","12",-0.018068295383387,-0.0887139129027108,"G1","3",1879,979,"12"
"HIP002.1100","SeuratProject",1859,1002,"H1","CD14 Monocyte","3","5",-0.0881701764546023,-0.0764218997221733,"G1","3",1859,1002,"5"
"HIP002.1102","SeuratProject",1682,947,"H1","CD16 Monocyte","10","6",-0.0734937273491018,-0.0793074559576848,"G1","10",1723,943,"6"
"HIP002.1108","SeuratProject",1924,977,"H1","CD14 Monocyte","3","13",-0.00903135899365857,-0.0882065929943152,"G1","3",1909,977,"13"
"HIP002.1109","SeuratProject",2003,981,"H1","CD14 Monocyte","3","15",-0.0165405645649264,-0.0627090826468844,"G1","3",1954,980,"15"
"HIP002.1113","SeuratProject",1762,982,"H1","CD16 Monocyte","5","20",-0.0196672450091549,-0.119784067931609,"G1","5",1779,980,"20"
"HIP002.1116","SeuratProject",2049,1007,"H1","CD14 Monocyte","3","14",-0.0576199438053107,-0.0398364285854206,"G1","3",1989,1007,"14"
"HIP002.1117","SeuratProject",2076,1003,"H1","CD14 Monocyte","3","4",-0.0343036147256448,0.0527942915727364,"G2M","3",2009,1003,"4"
"HIP002.1122","SeuratProject",1665,999,"H1","CD14 Monocyte","3","5",-0.0765994341181486,-0.0839587053367411,"G1","3",1709,999,"5"
"HIP002.1127","SeuratProject",2161,1001,"H1","CD14 Monocyte","3","13",0.0141611905167442,-0.0701180031326722,"S","3",2041,1001,"13"
"HIP002.1128","SeuratProject",2676,1007,"H1","CD14 Monocyte","3","5",-0.0192698373203788,-0.0788525900948517,"G1","3",2181,1001,"5"
"HIP002.1129","SeuratProject",1875,1013,"H1","CD14 Monocyte","3","13",0.0241000589306469,-0.108626174749574,"S","3",1872,1013,"13"
"HIP002.1134","SeuratProject",1759,1007,"H1","CD16 Monocyte","5","8",-0.0693888148443345,0.0105307272862451,"G2M","5",1773,1005,"8"
"HIP002.1135","SeuratProject",1950,1001,"H1","CD16 Monocyte","10","6",-0.0277984848382847,-0.0747855083535347,"G1","10",1928,1000,"6"
"HIP002.1136","SeuratProject",1994,1020,"H1","CD14 Monocyte","3","9",-0.0624844947596666,-0.0837868829285278,"G1","3",1956,1019,"9"
"HIP002.1137","SeuratProject",1825,1013,"H1","CD14 Monocyte","3","15",0.0120041828297079,-0.11541533219481,"S","3",1831,1013,"15"
"HIP002.1140","SeuratProject",1813,1015,"H1","CD14 Monocyte","3","12",-0.0799991753833334,-0.0792071901290196,"G1","3",1819,1015,"12"
"HIP002.1143","SeuratProject",1984,1017,"H1","CD14 Monocyte","3","13",-0.00983837881173778,-0.0455161410498202,"G1","3",1951,1017,"13"
"HIP002.1144","SeuratProject",1808,1014,"H1","CD14 Monocyte","3","13",-0.0612940105402285,-0.0805152602610815,"G1","3",1817,1014,"13"
"HIP002.1147","SeuratProject",1765,1024,"H1","CD14 Monocyte","3","9",-0.0168826260342993,-0.00672607183651062,"G1","3",1782,1024,"9"
"HIP002.1151","SeuratProject",2312,1018,"H1","CD14 Monocyte","3","9",0.0132170635902871,-0.0301897538873257,"S","3",2100,1017,"9"
"HIP002.1154","SeuratProject",1750,1017,"H1","CD14 Monocyte","3","15",-0.0628120528868449,-0.0396368092833391,"G1","3",1772,1016,"15"
"HIP002.1155","SeuratProject",1837,1022,"H1","CD14 Monocyte","3","14",-0.0288778329253169,-0.0947782540692366,"G1","3",1839,1022,"14"
"HIP002.1160","SeuratProject",2731,1014,"H1","CD14 Monocyte","3","15",-0.0598337841411902,-0.0778827535014979,"G1","3",2185,1006,"15"
"HIP002.1162","SeuratProject",1792,1038,"H1","CD14 Monocyte","3","14",0.00642560217612997,-0.0542940500795847,"S","3",1801,1038,"14"
"HIP002.1163","SeuratProject",1935,1018,"H1","CD14 Monocyte","3","10",0.117942808654101,-0.0841077772549554,"S","3",1915,1016,"10"
"HIP002.1164","SeuratProject",2023,1026,"H1","CD14 Monocyte","3","5",-0.0750509828326385,-0.0442780577857297,"G1","3",1973,1026,"5"
"HIP002.1171","SeuratProject",1745,1036,"H1","CD14 Monocyte","7","5",-0.0693098317917893,-0.0689527095391993,"G1","7",1764,1036,"5"
"HIP002.1172","SeuratProject",1935,1037,"H1","CD14 Monocyte","3","10",-0.0141549811737566,-0.0946597662512913,"G1","3",1921,1037,"10"
"HIP002.1178","SeuratProject",2109,1043,"H1","CD14 Monocyte","3","5",-0.0588612222519154,-0.0621960754951524,"G1","3",2023,1043,"5"
"HIP002.1181","SeuratProject",1618,1036,"H1","CD14 Monocyte","7","0",-0.0196587968632229,-0.090391917926992,"G1","7",1669,1036,"0"
"HIP002.1184","SeuratProject",2038,1035,"H1","CD14 Monocyte","3","13",0.0521549095644428,-0.0809243902793551,"S","3",1982,1034,"13"
"HIP002.1187","SeuratProject",2201,1041,"H1","CD16 Monocyte","5","7",-0.0223681801066135,-0.0204821319234202,"G1","5",2065,1040,"7"
"HIP002.1196","SeuratProject",1799,1025,"H1","CD16 Monocyte","10","7",0.0909015574390591,-0.124011092497136,"S","10",1809,1024,"7"
"HIP002.1197","SeuratProject",1905,1044,"H1","DC","3","6",-0.0625606520775692,-0.0344462883723957,"G1","3",1899,1044,"6"
"HIP002.1208","SeuratProject",1751,1051,"H1","CD16 Monocyte","10","0",0.0274615375577123,-0.0528473754927488,"S","10",1770,1051,"0"
"HIP002.1212","SeuratProject",2393,1015,"H1","CD14 Monocyte","3","15",-0.0675971787134198,0.00721992016368746,"G2M","3",2115,1011,"15"
"HIP002.1215","SeuratProject",2322,1062,"H1","CD14 Monocyte","3","14",-0.074617683003484,-0.0208238335061768,"G1","3",2115,1062,"14"
"HIP002.1216","SeuratProject",2549,1052,"H1","CD14 Monocyte","7","6",-0.0336852410151575,-0.0894762377521063,"G1","7",2170,1052,"6"
"HIP002.1220","SeuratProject",1880,1049,"H1","CD14 Monocyte","3","17",-0.0682299699164715,-0.0991925798739841,"G1","3",1877,1049,"17"
"HIP002.1221","SeuratProject",1817,1052,"H1","CD16 Monocyte","5","20",-0.0754825833368935,-0.124959036259007,"G1","5",1822,1052,"20"
"HIP002.1224","SeuratProject",2071,1059,"H1","CD14 Monocyte","3","12",-0.0746071361860039,0.0547730030011516,"G2M","3",2004,1059,"12"
"HIP002.1225","SeuratProject",2988,1045,"H1","CD14 Monocyte","3","5",-0.025207471913244,-0.0244467084160383,"G1","3",2205,1029,"5"
"HIP002.1228","SeuratProject",2082,1062,"H1","CD16 Monocyte","5","7",0.0333472769612119,-0.121815394641609,"S","5",2021,1061,"7"
"HIP002.1232","SeuratProject",1821,1042,"H1","CD14 Monocyte","3","5",-0.0308107459836477,-0.0607620748308488,"G1","3",1825,1041,"5"
"HIP002.1237","SeuratProject",2148,1066,"H1","CD14 Monocyte","3","10",-0.0314454364315932,-0.115708532154866,"G1","3",2040,1066,"10"
"HIP002.1239","SeuratProject",1926,1080,"H1","CD14 Monocyte","5","12",0.0190506561226876,-0.0474875803774365,"S","5",1913,1080,"12"
"HIP002.1241","SeuratProject",2259,1067,"H1","CD14 Monocyte","3","13",-0.00489701652376087,-0.0855758668679001,"G1","3",2103,1067,"13"
"HIP002.1242","SeuratProject",1885,1073,"H1","CD14 Monocyte","7","13",0.0658466991761854,-0.0128660720120837,"S","7",1882,1073,"13"
"HIP002.1244","SeuratProject",2184,1062,"H1","CD14 Monocyte","5","7",-0.0145428300429341,-0.0496048151167806,"G1","5",2056,1062,"7"
"HIP002.1245","SeuratProject",1945,1080,"H1","CD14 Monocyte","3","14",0.0279951311706785,-0.0258992418466544,"S","3",1930,1080,"14"
"HIP002.1248","SeuratProject",2282,1061,"H1","CD14 Monocyte","3","6",-0.00519351148932229,-0.0151020456909393,"G1","3",2103,1060,"6"
"HIP002.1249","SeuratProject",1866,1076,"H1","CD14 Monocyte","3","5",-0.0765994015614628,-0.0492645952707915,"G1","3",1865,1076,"5"
"HIP002.1252","SeuratProject",1762,1072,"H1","CD14 Monocyte","7","5",-0.0284874277182161,-0.0565027433652936,"G1","7",1773,1069,"5"
"HIP002.1254","SeuratProject",1901,1086,"H1","CD16 Monocyte","5","12",-0.0295458711205061,-0.0185213840977234,"G1","5",1894,1086,"12"
"HIP002.1255","SeuratProject",1978,1090,"H1","CD14 Monocyte","3","14",-0.0718039970774249,-0.0535729697108657,"G1","3",1954,1090,"14"
"HIP002.1264","SeuratProject",2079,1074,"H1","CD14 Monocyte","5","0",-0.023766382100912,-0.0550850934517529,"G1","5",2009,1073,"0"
"HIP002.1271","SeuratProject",1827,1087,"H1","CD14 Monocyte","7","17",-0.0290275331519044,0.101672887855556,"G2M","7",1831,1087,"17"
"HIP002.1280","SeuratProject",2655,1096,"H1","CD14 Monocyte","3","13",-0.0505283286948998,-0.0551048872012419,"G1","3",2199,1095,"13"
"HIP002.1290","SeuratProject",2010,1086,"H1","CD14 Monocyte","3","14",-0.0629213439712099,-0.0844219302062757,"G1","3",1967,1086,"14"
"HIP002.1292","SeuratProject",1975,1115,"H1","CD14 Monocyte","3","17",0.00388082391825577,-0.0328248131128492,"S","3",1952,1115,"17"
