"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.521","SeuratProject",1326,718,"H1","DC","11","6",0.00186279526985409,-0.0608993828513468,"S","11",1553,718,"6"
"HIP002.527","SeuratProject",1442,732,"H1","CD14 Monocyte","7","15",-0.00812254928512406,-0.0931627923471899,"G1","7",1615,731,"15"
"HIP002.528","SeuratProject",1482,726,"H1","CD14 Monocyte","7","7",-0.0508580622942664,-0.0452979339890488,"G1","7",1631,726,"7"
"HIP002.529","SeuratProject",1172,740,"H1","CD16 Monocyte","5","0",0.0486591652139454,-0.0323271781464222,"S","5",1475,740,"0"
"HIP002.531","SeuratProject",1234,741,"H1","CD14 Monocyte","3","13",-0.00289195857648096,-0.0661932037258298,"G1","3",1535,741,"13"
"HIP002.532","SeuratProject",1258,737,"H1","CD14 Monocyte","3","5",-0.0476713703597037,-0.0136246857148423,"G1","3",1538,738,"5"
"HIP002.548","SeuratProject",1066,748,"H1","CD16 Monocyte","5","7",-0.0588797775219194,-0.0972866906632269,"G1","5",1419,750,"7"
"HIP002.549","SeuratProject",1310,740,"H1","CD14 Monocyte","3","13",0.106469835404025,-0.0207621589631646,"S","3",1559,740,"13"
"HIP002.550","SeuratProject",1082,676,"H1","CD14 Monocyte","0","6",-0.0574083973043199,0.00305301364267223,"G2M","0",1446,676,"6"
"HIP002.553","SeuratProject",1231,746,"H1","CD16 Monocyte","5","0",-0.0152073227008695,-0.0305515885285278,"G1","5",1519,746,"0"
"HIP002.555","SeuratProject",1638,736,"H1","CD14 Monocyte","2","6",-0.00421410790817459,-0.0590389045181341,"G1","2",1724,735,"6"
"HIP002.556","SeuratProject",1223,742,"H1","CD14 Monocyte","7","7",-0.0564295771614744,-0.0688568350807449,"G1","7",1513,741,"7"
"HIP002.559","SeuratProject",1442,746,"H1","CD14 Monocyte","3","11",0.0392351987252433,-0.104275059729436,"S","3",1623,746,"11"
"HIP002.564","SeuratProject",1392,745,"H1","CD14 Monocyte","3","0",0.00304835829332567,-0.0613499278093378,"S","3",1587,745,"0"
"HIP002.567","SeuratProject",1092,745,"H1","CD14 Monocyte","3","14",-0.0486257555834342,-0.0480224226307818,"G1","3",1424,746,"14"
"HIP002.577","SeuratProject",1360,744,"H1","CD16 Monocyte","2","6",-0.0011234305834285,0.0111333180478298,"G2M","2",1584,744,"6"
"HIP002.579","SeuratProject",1702,735,"H1","CD14 Monocyte","3","15",-0.0616974695687295,0.0794889200013748,"G2M","3",1756,732,"15"
"HIP002.583","SeuratProject",1141,760,"H1","CD16 Monocyte","5","7",-0.0520245419511132,-0.0540455355961812,"G1","5",1454,761,"7"
"HIP002.587","SeuratProject",1549,747,"H1","CD14 Monocyte","3","6",-0.0568104356257815,-0.0118798604729235,"G1","3",1668,747,"6"
"HIP002.588","SeuratProject",1050,682,"H1","DC","0","6",-0.0531461947825069,-0.0509204580976471,"G1","0",1418,679,"6"
"HIP002.590","SeuratProject",1282,755,"H1","CD14 Monocyte","3","10",-0.058112139272313,-0.0956591197773462,"G1","3",1545,755,"10"
"HIP002.605","SeuratProject",1752,752,"H1","CD14 Monocyte","3","14",-0.0445067006975962,-0.0342548565717456,"G1","3",1784,752,"14"
"HIP002.606","SeuratProject",1302,725,"H1","CD14 Monocyte","7","6",0.00436808416558916,-0.00428902890572704,"S","7",1556,724,"6"
"HIP002.610","SeuratProject",1650,763,"H1","CD14 Monocyte","3","5",-0.0543641602088591,0.0605917287784137,"G2M","3",1730,763,"5"
"HIP002.619","SeuratProject",1159,763,"H1","CD16 Monocyte","5","0",-0.0256337834118888,-0.0632669152510922,"G1","5",1468,762,"0"
"HIP002.622","SeuratProject",1725,756,"H1","CD14 Monocyte","3","15",-0.0469681427441139,-0.0937358977393662,"G1","3",1766,756,"15"
"HIP002.624","SeuratProject",1477,752,"H1","CD14 Monocyte","3","6",-0.0647495299868325,-0.0948082937975466,"G1","3",1636,752,"6"
"HIP002.639","SeuratProject",1300,781,"H1","CD14 Monocyte","5","6",-0.0547045005389528,-0.0625276282450728,"G1","5",1540,781,"6"
"HIP002.644","SeuratProject",1338,760,"H1","CD14 Monocyte","3","15",0.00222567389600467,-0.0662109738452691,"S","3",1564,759,"15"
"HIP002.650","SeuratProject",1308,790,"H1","CD14 Monocyte","3","15",-0.0558420044129279,-0.0601454655022126,"G1","3",1551,790,"15"
"HIP002.652","SeuratProject",1484,789,"H1","DC","7","6",-0.0146972325730487,-0.0509157404644505,"G1","7",1621,789,"6"
"HIP002.655","SeuratProject",1280,786,"H1","CD14 Monocyte","3","5",-0.00911711216060595,-0.0485833099007654,"G1","3",1527,786,"5"
"HIP002.660","SeuratProject",1942,774,"H1","CD14 Monocyte","3","6",-0.0428737986639164,-0.0510438352794442,"G1","3",1910,773,"6"
"HIP002.664","SeuratProject",1820,785,"H1","CD14 Monocyte","3","12",0.0803140328512533,-0.0809309147258517,"S","3",1831,784,"12"
"HIP002.674","SeuratProject",1295,787,"H1","CD16 Monocyte","5","7",-0.0575636056809619,-0.0920384678874733,"G1","5",1529,787,"7"
"HIP002.675","SeuratProject",1252,740,"H1","CD14 Monocyte","3","6",-0.0485123633250707,-0.045925961799043,"G1","3",1528,739,"6"
"HIP002.681","SeuratProject",1717,788,"H1","CD14 Monocyte","7","6",-0.00975161178410339,-0.0598161112503561,"G1","7",1762,787,"6"
"HIP002.683","SeuratProject",1130,742,"H1","CD14 Monocyte","0","15",0.0430001035506815,-0.0652552065989134,"S","0",1447,740,"15"
"HIP002.688","SeuratProject",1644,805,"H1","CD16 Monocyte","5","6",0.0468600868868953,-0.0337754400393961,"S","5",1700,805,"6"
"HIP002.691","SeuratProject",1605,791,"H1","CD14 Monocyte","7","14",-0.0594801962420166,-0.0125776520916596,"G1","7",1693,790,"14"
"HIP002.702","SeuratProject",1687,796,"H1","CD14 Monocyte","3","14",9.07615277363147e-05,-0.0561710892431409,"S","3",1744,796,"14"
"HIP002.704","SeuratProject",1424,802,"H1","CD14 Monocyte","5","7",-0.0162387029107861,-0.0283628371122593,"G1","5",1590,802,"7"
"HIP002.719","SeuratProject",1369,804,"H1","CD16 Monocyte","5","6",0.0360432382694034,-0.103236781368263,"S","5",1549,803,"6"
"HIP002.721","SeuratProject",1813,794,"H1","CD14 Monocyte","2","6",-0.046845591929116,0.0173657793863512,"G2M","2",1828,793,"6"
"HIP002.724","SeuratProject",1446,777,"H1","CD14 Monocyte","3","15",-0.0108102854007672,0.0528698231190284,"G2M","3",1599,775,"15"
"HIP002.736","SeuratProject",1473,805,"H1","CD14 Monocyte","3","14",-0.0078413984586171,-0.0929881324601738,"G1","3",1612,804,"14"
"HIP002.743","SeuratProject",1476,821,"H1","CD14 Monocyte","3","15",-0.0567684096239541,-0.0635367874045199,"G1","3",1622,821,"15"
"HIP002.749","SeuratProject",1395,815,"H1","CD16 Monocyte","5","0",-0.0689961874285936,-0.0609828040787534,"G1","5",1574,815,"0"
